UART Data
11858308,25,05 03 1C 00 00 00 00 00 00 00 00 00 10 00 00 00 00 00 00 00 00 00 00 5A A5 00 F8 00 ED 01 4C 98 69 
12257116,26,06 03 03 F3 00 0E 35 CE 
12758636,27,03 03 08 33 00 16 37 89 
12881260,28,03 03 2C 01 08 00 00 00 00 00 00 00 6E 00 91 01 A4 00 00 00 00 00 13 00 00 00 4E 00 00 00 00 09 00 00 14 58 21 00 00 00 00 00 02 00 00 00 00 F6 C0 
13283064,29,03 10 07 CF 00 05 0A 00 00 00 00 00 00 00 00 08 50 2F A9 
13319528,30,03 10 07 CF 00 05 30 A3 
13761676,31,04 03 08 33 00 16 36 3E 
13883652,32,04 03 2C 01 08 00 00 00 00 00 00 00 6E 00 91 01 A3 00 00 00 00 00 13 00 00 00 4D 00 00 00 00 09 00 00 14 58 21 00 00 00 00 00 02 00 00 00 00 32 B5 
14286108,33,04 10 07 CF 00 05 0A 00 00 00 00 00 00 00 00 08 50 9D 98 
14323248,34,04 10 07 CF 00 05 31 14 
14866440,35,01 03 0B B9 00 15 57 C4 01 03 2A 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 0A 03 06 00 00 00 04 00 19 00 0A 00 17 00 0F 00 1D 52 20 
15266240,36,02 03 0B B9 00 15 57 F7 
16144496,37,00 10 07 D1 00 5A B4 57 46 32 33 31 32 32 37 30 37 30 36 00 00 00 00 04 04 07 D1 00 00 00 01 01 5E 00 00 00 0A 03 05 00 09 00 09 00 00 00 00 00 00 00 A5 00 CE 00 D2 00 00 00 CB 00 CD FF E5 00 00 00 00 00 D0 FF E4 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 D2 00 D1 00 00 00 00 00 D0 00 D0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 CC 00 00 00 00 00 00 00 CB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 FA 00 FA 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 48 00 48 00 00 00 A5 99 93 
16645988,38,00 10 08 2B 00 5A B4 57 46 32 33 31 32 32 37 30 37 30 36 00 00 00 00 04 04 08 2B 00 00 00 00 FF E3 FF E5 00 00 00 00 5A A5 00 00 00 00 00 00 00 C6 00 00 00 C6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 17 00 13 01 08 00 00 00 00 00 00 00 00 00 00 00 16 00 13 01 08 00 00 00 00 00 00 00 00 00 F8 01 4C 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 10 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 66 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 94 AE 
16770804,39,05 03 03 F3 00 0E 35 FD 
16873852,40,05 03 1C 00 00 00 00 00 00 00 00 00 10 00 00 00 00 00 00 00 00 00 00 5A A5 00 F8 00 ED 01 4C 98 69 
17272296,41,06 03 03 F3 00 0E 35 CE 
17773840,42,03 03 08 33 00 16 37 89 
17895608,43,03 03 2C 01 08 00 00 00 00 00 00 00 6E 00 91 01 A4 00 00 00 00 00 13 00 00 00 4E 00 00 00 00 09 00 00 14 58 21 00 00 00 00 00 02 00 00 00 00 F6 C0 
18298248,44,03 10 07 CF 00 05 0A 00 00 00 00 00 00 00 00 08 50 2F A9 
18334916,45,03 10 07 CF 00 05 30 A3 
18776860,46,04 03 08 33 00 16 36 3E 
18899072,47,04 03 2C 01 08 00 00 00 00 00 00 00 6E 00 91 01 A3 00 00 00 00 00 13 00 00 00 4C 00 00 00 00 09 00 00 14 58 21 00 00 00 00 00 02 00 00 00 00 22 64 
19301288,48,04 10 07 CF 00 05 0A 00 00 00 00 00 00 00 00 08 50 9D 98 
19337644,49,04 10 07 CF 00 05 31 14 
19881648,50,01 03 0B B9 00 15 57 C4 01 03 2A 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 0A 03 06 00 00 00 04 00 19 00 0A 00 17 00 0F 00 1E 12 21 
20281420,51,02 03 0B B9 00 15 57 F7 
21159672,52,00 10 07 D1 00 5A B4 57 46 32 33 31 32 32 37 30 37 30 36 00 00 00 00 04 04 07 D1 00 00 00 01 01 5E 00 00 00 0A 03 05 00 09 00 09 00 00 00 00 00 00 00 A5 00 CE 00 D2 00 00 00 CB 00 CD FF E5 00 00 00 00 00 D0 FF E3 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 D2 00 D1 00 00 00 00 00 D0 00 D0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 CC 00 00 00 00 00 00 00 CB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 FA 00 FA 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 49 00 48 00 00 00 A5 C3 D8 
21661196,53,00 10 08 2B 00 5A B4 57 46 32 33 31 32 32 37 30 37 30 36 00 00 00 00 04 04 08 2B 00 00 00 00 FF E3 FF E5 00 00 00 00 5A A5 00 00 00 00 00 00 00 C7 00 00 00 C6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 17 00 13 01 08 00 00 00 00 00 00 00 00 00 00 00 15 00 13 01 08 00 00 00 00 00 00 00 00 00 F8 01 4C 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 10 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 66 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 E7 D6 
21785980,54,05 03 03 F3 00 0E 35 FD 
21888772,55,05 03 1C 00 00 00 00 00 00 00 00 00 10 00 00 00 00 00 00 00 00 00 00 5A A5 00 F8 00 ED 01 4C 98 69 
22287504,56,06 03 03 F3 00 0E 35 CE 
22789024,57,03 03 08 33 00 16 37 89 
22911020,58,03 03 2C 01 08 00 00 00 00 00 00 00 6E 00 91 01 A4 00 00 00 00 00 13 00 00 00 4E 00 00 00 00 09 00 00 14 58 21 00 00 00 00 00 02 00 00 00 00 F6 C0 
23313452,59,03 10 07 CF 00 05 0A 00 00 00 00 00 00 00 00 08 50 2F A9 
23350360,60,03 10 07 CF 00 05 30 A3 
23792064,61,04 03 08 33 00 16 36 3E 
23914512,62,04 03 2C 01 08 00 00 00 00 00 00 00 6E 00 91 01 A3 00 00 00 00 00 13 00 00 00 4C 00 00 00 00 09 00 00 14 58 21 00 00 00 00 00 02 00 00 00 00 22 64 
24316496,63,04 10 07 CF 00 05 0A 00 00 00 00 00 00 00 00 08 50 9D 98 
24353060,64,04 10 07 CF 00 05 31 14 
