UART Data,,
20858652,64,00 10 08 2B 00 5A B4 57 46 32 33 31 32 32 37 30 37 30 36 00 00 00 00 04 04 08 2B 00 00 00 00 FF E3 FF E4 00 25 00 00 5A A5 00 00 00 00 00 00 00 88 00 1E 00 87 00 25 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 F2 00 00 00 00 00 00 00 33 00 33 00 81 00 41 02 2C 02 0B 00 00 00 00 00 33 00 33 00 7E 00 40 02 2A 02 0B 00 00 00 00 01 F9 00 0A 01 9D 01 48 00 00 00 00 00 00 00 00 00 00 00 00 00 7E 00 00 00 10 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 03 00 00 00 00 64 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 6E CB 
20983440,65,05 03 03 F3 00 0E 35 FD 
21086776,66,05 03 1C 00 01 01 F4 00 00 00 00 00 10 00 7E 01 F2 00 0A 00 00 00 00 5A A5 01 9D 00 EB 01 48 8B 8D 
21495360,67,05 10 03 F3 00 02 04 00 01 01 F9 2D 2C 
21536228,68,05 10 03 F3 00 02 B0 3B 
21986480,69,06 03 03 F3 00 0E 35 CE 
22488000,70,03 03 08 33 00 16 37 89 
22609972,71,03 03 2C 02 0B 00 00 00 00 00 33 00 6E 00 91 01 A1 00 40 00 80 02 2B 00 00 00 78 00 00 00 00 09 00 00 14 58 21 00 00 00 00 00 02 00 00 00 00 69 90 
23012404,72,03 10 07 CF 00 05 0A 00 33 00 03 00 00 00 00 08 50 5C 58 
23049312,73,03 10 07 CF 00 05 30 A3 
23491016,74,04 03 08 33 00 16 36 3E 
23613380,75,04 03 2C 02 0B 00 00 00 00 00 33 00 6E 00 91 01 A0 00 3F 00 7E 02 2A 00 00 00 76 00 00 00 00 09 00 00 14 58 21 00 00 00 00 00 02 00 00 00 00 F8 34 
24015420,76,04 10 07 CF 00 05 0A 00 33 00 03 00 00 00 00 08 50 EE 69 
24052092,77,04 10 07 CF 00 05 31 14 
24494056,78,01 03 0B B9 00 15 57 C4 
24995556,79,02 03 0B B9 00 15 57 F7 
25873808,80,00 10 07 D1 00 5A B4 57 46 32 33 31 32 32 37 30 37 30 36 00 00 00 00 04 04 07 D1 00 01 00 01 02 26 00 00 00 0A 03 05 00 09 00 09 00 00 00 00 00 00 00 A5 01 F6 02 2C 00 00 01 0B 00 A1 FF E5 00 00 00 00 00 9F FF E3 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 AD 00 B2 00 00 00 00 02 C6 02 C2 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 02 2F 00 00 00 00 00 00 02 27 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 EB 00 DB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 3B 00 3B 00 00 00 A5 DA 15 
26375304,81,00 10 08 2B 00 5A B4 57 46 32 33 31 32 32 37 30 37 30 36 00 00 00 00 04 04 08 2B 00 00 00 00 FF E3 FF E4 00 25 00 00 5A A5 00 00 00 00 00 00 00 87 00 21 00 86 00 25 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 F2 00 00 00 00 00 00 00 33 00 33 00 80 00 41 02 2B 02 0B 00 00 00 00 00 33 00 33 00 7E 00 3F 02 2A 02 0B 00 00 00 00 01 F9 00 0A 01 9D 01 48 00 00 00 00 00 00 00 00 00 00 00 00 00 7E 00 00 00 10 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 03 00 00 00 00 64 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 3C AF 
26500120,82,05 03 03 F3 00 0E 35 FD 
26603244,83,05 03 1C 00 01 01 F9 00 00 00 00 00 10 00 82 01 F8 00 0B 00 00 00 00 5A A5 01 9D 00 EB 01 48 29 AD 
